,Config,Acc.,BOPs,Sparsity,Neff,aIQ,Layer#1,Layer#2,Layer#3,Layer#4,ILP,Synth,LUT,FF,BRAM,URAM,DSP,Latency
584,w7a10_w5a8_w7a10_w8a11,0.7670541666666667,343396.9143013849,14.90088858509911,0.5679992709569772,1.04962083529847,7,5,7,8,0,0,0,0,0.0,0,0,0
585,w7a10_w5a8_w8a11_w4a7,0.7671916666666667,339258.7610037022,18.318523581681475,0.4702967701084125,1.01925353032269,7,5,8,4,0,1,59613,11014,1.5,0,505,80
586,w7a10_w5a8_w8a11_w5a8,0.7666625,332328.2841080488,21.23490544543176,0.48273799062755257,1.0229714007044972,7,5,8,5,0,0,0,0,0.0,0,0,0
587,w7a10_w5a8_w8a11_w6a9,0.7673041666666667,341780.3504730563,18.181818181818183,0.5073154297715639,1.0310496460146295,7,5,8,6,0,0,0,0,0.0,0,0,0
588,w7a10_w5a8_w8a11_w7a10,0.76795,343238.3622651858,18.136249715197085,0.4950167964108653,1.0274919336921762,7,5,8,7,0,0,0,0,0.0,0,0,0
589,w7a10_w5a8_w8a11_w8a11,0.7677208333333333,338417.8187302893,21.348826611984506,0.5173253679652586,1.0343781482064407,7,5,8,8,0,0,0,0,0.0,0,0,0
590,w7a10_w6a9_w4a7_w4a7,0.7672041666666667,321434.18620595086,22.146274777853726,0.42310332443556786,1.0038867263816602,7,6,4,4,0,0,0,0,0.0,0,0,0
591,w7a10_w6a9_w4a7_w5a8,0.767575,332535.00507335796,18.318523581681475,0.4702090657642699,1.019414134397199,7,6,4,5,0,0,0,0,0.0,0,0,0
592,w7a10_w6a9_w4a7_w6a9,0.7675375,324832.1711229947,22.51082251082251,0.46576826244333364,1.0179691992891324,7,6,4,6,0,0,0,0,0.0,0,0,0
593,w7a10_w6a9_w4a7_w7a10,0.7677083333333333,329747.72302207595,20.164046479835953,0.5341367388512459,1.0395834204119505,7,6,4,7,0,0,0,0,0.0,0,0,0
594,w7a10_w6a9_w4a7_w8a11,0.7676333333333333,331811.27766351297,19.685577580314423,0.48244019519944803,1.0233508693271767,7,6,4,8,0,0,0,0,0.0,0,0,0
595,w7a10_w6a9_w5a8_w4a7,0.76785,333982.65295488824,19.548872180451127,0.4920135857596022,1.0264942578760003,7,6,5,4,0,1,61244,10221,1.5,0,227,65
596,w7a10_w6a9_w5a8_w5a8,0.7684458333333334,343803.4849856026,16.336295283663706,0.490076017976434,1.0261707872630703,7,6,5,5,0,0,0,0,0.0,0,0,0
597,w7a10_w6a9_w5a8_w6a9,0.7682666666666667,351163.89304812835,13.305992253360674,0.4831627224704186,1.0238901788496748,7,6,5,6,0,0,0,0,0.0,0,0,0
598,w7a10_w6a9_w5a8_w7a10,0.7677083333333333,334659.70327711507,20.483025746183642,0.5155383985574142,1.033815141921931,7,6,5,7,0,0,0,0,0.0,0,0,0
599,w7a10_w6a9_w5a8_w8a11,0.7682458333333333,344874.82023858494,17.384370015948964,0.4809998833215589,1.0231918289935436,7,6,5,8,0,0,0,0,0.0,0,0,0
600,w7a10_w6a9_w6a9_w4a7,0.7680583333333333,357690.05018510896,13.784461152882205,0.460677763738767,1.016587134783901,7,6,6,4,0,0,0,0,0.0,0,0,0
601,w7a10_w6a9_w6a9_w5a8,0.7682208333333334,360917.9958864664,12.759170653907496,0.4749889231889038,1.021262109320396,7,6,6,5,0,0,0,0,0.0,0,0,0
602,w7a10_w6a9_w6a9_w6a9,0.768575,358871.3517071164,14.285714285714286,0.5093076297560855,1.0322848577860768,7,6,6,6,0,0,0,0,0.0,0,0,0
603,w7a10_w6a9_w6a9_w7a10,0.7681291666666666,361816.6680378445,13.511050353155616,0.4928681139488554,1.0269000744487413,7,6,6,7,0,0,0,0,0.0,0,0,0
604,w7a10_w6a9_w6a9_w8a11,0.7673,357184.18428630196,16.22237411711096,0.5041354573466399,1.0300495616163587,7,6,6,8,0,0,0,0,0.0,0,0,0
605,w7a10_w6a9_w7a10_w4a7,0.7685625,359556.0104209516,15.994531784005469,0.4681908096436724,1.0192533065358793,7,6,7,4,0,1,69327,12374,1.5,0,298,80
606,w7a10_w6a9_w7a10_w5a8,0.767675,363594.4999314411,15.242652084757347,0.5205957407012003,1.0353741313772142,7,6,7,5,0,0,0,0,0.0,0,0,0
607,w7a10_w6a9_w7a10_w6a9,0.7679375,369333.2719045661,13.738892686261106,0.517103938613816,1.034412820892833,7,6,7,6,0,0,0,0,0.0,0,0,0
608,w7a10_w6a9_w7a10_w7a10,0.76785,353353.3064582477,19.98177261335156,0.5086658834726161,1.0317353803601994,7,6,7,7,0,0,0,0,0.0,0,0,0
609,w7a10_w6a9_w7a10_w8a11,0.76855,369790.9995886467,14.65026201868307,0.4905087927147113,1.026358427391209,7,6,7,8,0,0,0,0,0.0,0,0,0
610,w7a10_w6a9_w8a11_w4a7,0.7682333333333333,369052.2572329631,16.17680565048986,0.4865057158076475,1.0249357628597726,7,6,8,4,0,0,0,0,0.0,0,0,0
611,w7a10_w6a9_w8a11_w5a8,0.768275,371605.61415055534,15.652768284347232,0.482632772377948,1.023725721015998,7,6,8,5,0,0,0,0,0.0,0,0,0
612,w7a10_w6a9_w8a11_w6a9,0.7678708333333333,367540.91649526946,17.7261335156072,0.483280460118088,1.023734254161081,7,6,8,6,0,0,0,0,0.0,0,0,0
613,w7a10_w6a9_w8a11_w7a10,0.7685833333333333,379225.9141642671,14.354066985645932,0.5323424337274995,1.039444591877675,7,6,8,7,0,0,0,0,0.0,0,0,0
614,w7a10_w6a9_w8a11_w8a11,0.7681625,372010.12258329906,16.837548416495785,0.516909178970005,1.0344598160981051,7,6,8,8,0,0,0,0,0.0,0,0,0
615,w7a10_w7a10_w4a7_w4a7,0.7677416666666667,348937.2845194022,21.895648211437685,0.4465818619409639,1.0118617846323454,7,7,4,4,0,1,62795,15652,1.5,0,277,90
616,w7a10_w7a10_w4a7_w5a8,0.7678166666666667,355681.47867818456,18.409660514923672,0.500770901517965,1.029241070728518,7,7,4,5,0,0,0,0,0.0,0,0,0
617,w7a10_w7a10_w4a7_w6a9,0.7678125,357065.4600301659,18.77420824789246,0.4945617042925513,1.027281529577679,7,7,4,6,0,0,0,0,0.0,0,0,0
618,w7a10_w7a10_w4a7_w7a10,0.7673791666666666,352112.73056355404,21.485532011847802,0.5018132677668034,1.029357708462024,7,7,4,7,0,0,0,0,0.0,0,0,0
619,w7a10_w7a10_w4a7_w8a11,0.7676166666666666,362029.47483888664,16.97425381635908,0.5035712960061514,1.0300250230985515,7,7,4,8,0,0,0,0,0.0,0,0,0
620,w7a10_w7a10_w5a8_w4a7,0.7685041666666667,368901.38379267795,15.629984051036683,0.4435069091302494,1.0112416723513178,7,7,5,4,0,0,0,0,0.0,0,0,0
621,w7a10_w7a10_w5a8_w5a8,0.7678833333333334,370764.0575894693,15.493278651173387,0.520205747571238,1.0353523382659764,7,7,5,5,0,0,0,0,0.0,0,0,0
622,w7a10_w7a10_w5a8_w6a9,0.7690333333333333,375516.8057040998,13.533834586466165,0.49622339097136764,1.0283978165889456,7,7,5,6,0,0,0,0,0.0,0,0,0
623,w7a10_w7a10_w5a8_w7a10,0.7682375,372020.6795557384,15.44771018455229,0.5137141550174867,1.0334995837081382,7,7,5,7,0,0,0,0,0.0,0,0,0
624,w7a10_w7a10_w5a8_w8a11,0.7682791666666666,376041.1879884821,14.604693552061972,0.4903415645037892,1.026173770938142,7,7,5,8,0,0,0,0,0.0,0,0,0
